#,Bathroom Scales,Price,Rating,Link,Top Review
12,Taylor 7519 Ultra-Thick Digital Glass Bathroom Scale  ...,$37.73,4.4/5.0,https://www.walmart.com/ip/Taylor-7519-Ultra-Thick-Digital-Glass-Bathroom-Scale-with-Backlit-LCD-Display/11089592,blank
13,Ozeri Rev Digital Bathroom Scale with Electro-Mechan  ...,$23.99,4.3/5.0,https://www.walmart.com/ip/Ozeri-Rev-Digital-Bathroom-Scale-with-Electro-Mechanical-Weight-Dial/37417381,blank
14,Ktaxon Hot Digital Bathroom Body Glass Weight Heath   ...,$9.99,0.0/5.0,https://www.walmart.com/ip/Ktaxon-Hot-Digital-Bathroom-Body-Glass-Weight-Heath-LCD-Scale-180kg-100g-396lb/731752937,blank
15,Ozeri WeightMaster 400 lbs Digital Bath Scale with B  ...,$28.89,4.9/5.0,https://www.walmart.com/ip/Ozeri-WeightMaster-400-lbs-Digital-Bath-Scale-with-BMI-and-Weight-Change-Detection/37417384,blank
16,Health o meter Weight Tracking Digital Scale,$19.88,2.4/5.0,https://www.walmart.com/ip/Health-o-meter-Weight-Tracking-Digital-Scale/8245670,blank
17,Taylor 7595 Digital Glass Bathroom Scale with 2 User  ...,$24.88,1.8/5.0,https://www.walmart.com/ip/Taylor-7595-Digital-Glass-Bathroom-Scale-with-2-User-Memory/53998845,blank
18,Smart Weigh 440lbs Electronic Bathroom Digital Body   ...,$17.99,5.0/5.0,https://www.walmart.com/ip/Smart-Weigh-440lbs-Electronic-Bathroom-Digital-Body-Weight-Scale-LCD-Silver/132129637,blank
19,Taylor Precision Products 73294072 Silver Platform L  ...,$25.09,4.0/5.0,https://www.walmart.com/ip/Taylor-Precision-Products-73294072-Silver-Platform-Lithium-Electronic-Digital-Scale/5740778,blank
20,1byone Digital Smart Wireless Body Fat Scale with IO  ...,$25.99,4.5/5.0,https://www.walmart.com/ip/1byone-Digital-Smart-Wireless-Body-Fat-Scale-IOS-Android-App-Manage-Body-weight-Body-Fat-Water-Muscle-Mass-BMI-BMR-Bone-Mass-Visceral-Fat-White/844727215,blank
21,Taylor 5780F Stainless Steel Body Analysis Bathroom   ...,$34.88,2.8/5.0,https://www.walmart.com/ip/Taylor-5780F-Stainless-Steel-Body-Analysis-Bathroom-Scale/53998844,blank
22,Health O Meter Oversized Dial Scale (HAB401DQ-99),$20.24,3.9/5.0,https://www.walmart.com/ip/Health-O-Meter-Oversized-Dial-Scale-HAB401DQ-99/42358732,blank
23,Health O Meter Professional Body Fat Digital Scale w  ...,$39.84,2.3/5.0,https://www.walmart.com/ip/Health-O-Meter-Professional-Body-Fat-Digital-Scale-with-DCI-Technology-BFM081DQ1-63/51235438,blank
24,400 Lbs Geometric Digital LCD Glass Body Weight Bath  ...,$18.21,1.0/5.0,https://www.walmart.com/ip/400-Lbs-Geometric-Digital-LCD-Glass-Body-Weight-Bathroom-Scale-High-Precision-HITC/710835090,blank
25,Taylor Mechanical Analog Bath Scale Style 11306072T,$36.00,3.7/5.0,https://www.walmart.com/ip/Taylor-Mechanical-Analog-Bath-Scale-Style-11306072T/11089584,blank
26,Omron Healthcare Full-Body Sensor Composition Monito  ...,$69.99,4.1/5.0,https://www.walmart.com/ip/Omron-Healthcare-Full-Body-Sensor-Composition-Monitor-and-Scale/15604612,blank
27,Detecto 439 Eye Level Physician Mechanical Beam Scal  ...,$161.77,0.0/5.0,https://www.walmart.com/ip/Detecto-439-Eye-Level-Physician-Mechanical-Beam-Scale-W-Height-Rod/17775786,blank
28,Salter 916 Professional Large Dial Mechanical Bath S  ...,$40.96,1.8/5.0,https://www.walmart.com/ip/Salter-916-Professional-Large-Dial-Mechanical-Bath-Scale/39461234,blank
29,American Weigh Scales 330CVS Talking Digital Bathroo  ...,$24.39,3.7/5.0,https://www.walmart.com/ip/American-Weigh-Scales-330CVS-Talking-Digital-Bathroom-Scale/23876340,blank
30,Sunbeam Rotating Dial Scale (SAB700),$5.82,3.2/5.0,https://www.walmart.com/ip/Sunbeam-Rotating-Dial-Scale-SAB700/15524356,blank
31,Taylor Lithium Digital Thin Profile Bath Scale Model  ...,$25.04,4.2/5.0,https://www.walmart.com/ip/Taylor-Lithium-Digital-Thin-Profile-Bath-Scale-Model-7340/11089590,blank
32,Taylor 740541032 Digital Scale,$31.43,4.3/5.0,https://www.walmart.com/ip/Taylor-740541032-Digital-Scale/11089589,blank
33,Fitbit Aria 2 Wi-Fi Smart Scale,$128.95,4.6/5.0,https://www.walmart.com/ip/Fitbit-Aria-2-Wi-Fi-Smart-Scale/915820231,blank
34,Health O Meter Baby Toddler Scale (HDC100KD-01),$41.99,4.8/5.0,https://www.walmart.com/ip/Health-O-Meter-Baby-Toddler-Scale-HDC100KD-01/2676641,blank
35,Omron Body Composition Monitor And Scale With Seven   ...,$73.37,4.3/5.0,https://www.walmart.com/ip/Omron-Body-Composition-Monitor-And-Scale-With-Seven-Fitness-Indicators-Black/15604629,blank
36,"Taylor Precision Products 755841933s Digital 1.58"" L  ...",$24.00,4.2/5.0,https://www.walmart.com/ip/Taylor-Precision-Products-755841933s-Digital-1-58-Lcd-Bath-Scale/27449074,blank
37,Salter 914whlkr Infant & Toddler Bath Scale,$46.54,4.8/5.0,https://www.walmart.com/ip/Salter-914whlkr-Infant-Toddler-Bath-Scale/11063127,blank
38,My Weigh Xl-700 Talking Bathroom Scale 700 Lb 320kg,$76.59,4.8/5.0,https://www.walmart.com/ip/My-Weigh-Xl-700-Talking-Bathroom-Scale-700-Lb-320kg/164150765,blank
39,"Full Body Sensing Floor, Body Analyzer / Scale OMRON  ...",$76.56,3.7/5.0,https://www.walmart.com/ip/Full-Body-Sensing-Floor-Body-Analyzer-Scale-OMRON-Large-LCD-Display-Sliver-and-White/10893854,blank
40,Glass Electronic Personal Scale with 6mm Glass Platf  ...,$8.05,4.1/5.0,https://www.walmart.com/ip/Glass-Electronic-Personal-Scale-with-6mm-Glass-Platform/48947436,blank
