#,Patient Care,Price,Rating,Link,Top Review
21,"Equate Headache Relief, Acetaminophen, Aspirin & Caf  ...",$4.00,5.0/5.0,https://www.walmart.com/ip/Equate-Headache-Relief-Acetaminophen-Aspirin-Caffeine-Extra-Strength-Twin-Pack-200-Caplets/350249376,blank
22,Cara Hot Water Bottle Personal Hygiene And Enema Sys  ...,$14.46,4.2/5.0,https://www.walmart.com/ip/Cara-Hot-Water-Bottle-Personal-Hygiene-And-Enema-System-2-Quart-Combination/10320773,blank
23,"Equate Vinyl Examination Gloves, One Size, 50 Ct",$5.84,0.0/5.0,https://www.walmart.com/ip/Equate-Vinyl-Examination-Gloves-One-Size-50-Ct/265514745,blank
24,"(2 Pack) Curad Basic Care Vinyl Exam Gloves, Small/M  ...",$8.34,0.0/5.0,https://www.walmart.com/ip/2-Pack-Curad-Basic-Care-Vinyl-Exam-Gloves-Small-Medium-100-count/251537128,blank
25,Nauzene Nausea Relief Chewable Tablets Wild Cherry F  ...,$4.96,5.0/5.0,https://www.walmart.com/ip/Nauzene-Nausea-Relief-Chewable-Tablets-Wild-Cherry-Flavor-42-CT/932026162,blank
26,"Medline Powder-Free Synthetic Vinyl Exam Gloves, Med  ...",$53.004.0¢/each,4.5/5.0,https://www.walmart.com/ip/Medline-Powder-Free-Synthetic-Vinyl-Exam-Gloves-Medium-Case-of-1500/23955876,blank
27,ProSource Acupressure Mat and Pillow Set for Back/Ne  ...,$19.99,0.0/5.0,https://www.walmart.com/ip/ProSource-Acupressure-Mat-and-Pillow-Set-for-Back-Neck-Pain-Relief-and-Muscle-Relaxation/50997715,blank
28,"Curad Powder-Free Latex Gloves, 50 Ct",$4.54,4.4/5.0,https://www.walmart.com/ip/Curad-Powder-Free-Latex-Gloves-50-Ct/16608858,blank
29,"BD Ultra-Fine Pen Needles Nano, Penta Point Comfort,  ...",$25.95,5.0/5.0,https://www.walmart.com/ip/BD-Ultra-Fine-Pen-Needles-Nano-Penta-Point-Comfort-4mm-x-32G-90-Count/118727719,blank
30,"Curad Universal Surgical Facemasks, 10 Ct",$7.99,4.7/5.0,https://www.walmart.com/ip/Curad-Universal-Surgical-Facemasks-10-Ct/20704296,blank
31,CPAP H2O Premium Distilled Water - 10 Bottle Pack,$21.99,0.0/5.0,https://www.walmart.com/ip/CPAP-H2O-Premium-Distilled-Water-10-Bottle-Pack/676534792,blank
32,As Seen On Tv Lo Bak Trax Back Stretcher - Dual Trac  ...,$29.88,3.8/5.0,https://www.walmart.com/ip/As-Seen-On-Tv-Lo-Bak-Trax-Back-Stretcher-Dual-Traction-Force-Spinal-Traction-Device/983625450,blank
33,Frio Duo Insulin Cooling Case,$19.99,4.0/5.0,https://www.walmart.com/ip/Frio-Duo-Insulin-Cooling-Case/36442149,blank
34,Soft Stretchy Ear Loop Face Mouth Mask Muffle Solid   ...,$5.47,4.6/5.0,https://www.walmart.com/ip/Soft-Stretchy-Ear-Loop-Face-Mouth-Mask-Muffle-Solid-Black-7-x-5/45586727,blank
35,"SCRUBSTAR Women's Fashion Collection ""Polar Penguins  ...",$15.96,0.0/5.0,https://www.walmart.com/ip/SCRUBSTAR-Women-s-Fashion-Collection-Polar-Penguins-Printed-Scrub-Top/435139868,blank
36,Dual-Head Stethoscopes,$7.65 - $10.53,5.0/5.0,https://www.walmart.com/ip/Dual-Head-Stethoscopes/14867655,blank
37,"Herbal Perineal Spray - Naturally Soothing, Safe for  ...",$11.88$2.97/oz,5.0/5.0,https://www.walmart.com/ip/Herbal-Perineal-Spray-Naturally-Soothing-Safe-for-Pregnancy-and-Postpartum-4-Fl-Oz/26961041,blank
38,Medline Walker Basket Accessory,$19.25,4.0/5.0,https://www.walmart.com/ip/Medline-Walker-Basket-Accessory/7983662,blank
39,Primacare ST-6856 CPR Mask,$5.51,0.0/5.0,https://www.walmart.com/ip/Primacare-ST-6856-CPR-Mask/55381439,blank
40,Ambimed Easy and Comfortable Diabetic Injection Aid,$27.99,5.0/5.0,https://www.walmart.com/ip/Ambimed-Easy-and-Comfortable-Diabetic-Injection-Aid/590785169,blank
