#,Daily Living Aids,Price,Rating,Link,Top Review
12,HealthSmart Folding Magnetic Tip Reacher Grabber for  ...,$9.99,3.4/5.0,https://www.walmart.com/ip/HealthSmart-Folding-Magnetic-Tip-Reacher-Grabber-Elderly-Disabled-32-Inch-Aluminum-Lightweight-Trash-Grabber-Garden-Nabber-Litter-Picker-Arm-Extension/36782329,blank
13,Digital Hearing Amplifier - (Pair of 2) Personal Hea  ...,$39.99,1.0/5.0,https://www.walmart.com/ip/Digital-Hearing-Amplifier-Pair-2-Personal-Hearing-Enhancement-Sound-Amplifier-Rechargeable-Digital-Hearing-Amplifier-All-Day-Battery-Life-Modern-Blue/173810948,blank
14,"Apothecary EZY Dose  Pill Crusher, 1 ea",$8.71,4.3/5.0,https://www.walmart.com/ip/Apothecary-EZY-Dose-Pill-Crusher-1-ea/42542281,blank
15,"Pack of Two Britzgo Hearing Aid Amplifiers BHA-220,   ...",$80.00,5.0/5.0,https://www.walmart.com/ip/Pack-of-Two-Britzgo-Hearing-Aid-Amplifiers-BHA-220-500hr-Battery-Life-FDA-Approved-Blue/843321786,blank
16,"Ezy Dose Pill Planner, 1.0 CT",$4.78,4.3/5.0,https://www.walmart.com/ip/Ezy-Dose-Pill-Planner-1-0-CT/10996835,blank
17,Apex 7-Day MediPlanner Pill Organizer,$7.99,4.4/5.0,https://www.walmart.com/ip/Apex-7-Day-MediPlanner-Pill-Organizer/14089470,blank
18,"RMS Sock Aid, Sock Puller, Stocking Aid, Stocking Do  ...",$9.95,4.8/5.0,https://www.walmart.com/ip/RMS-Sock-Aid-Sock-Puller-Stocking-Aid-Stocking-Donner-with-Foam-Handles-Made-in-USA-Limited-Lifetime-Warranty/134106880,blank
19,31 Day Monthly Pill Organizer Tray with Daily Pop-Ou  ...,$9.95,4.4/5.0,https://www.walmart.com/ip/31-Day-Monthly-Pill-Organizer-Tray-with-Daily-Pop-Out-Pods/199531058,blank
20,"30"" Pick up Tool Aluminum Grabber Reacher W Pistol G  ...",$12.99,0.0/5.0,https://www.walmart.com/ip/30-Pick-up-Tool-Aluminum-Grabber-Reacher-W-Pistol-Grip-and-Magnetic-Magnet-Tip/510099077,blank
21,Reaching Aid 32 Inch,$6.83,4.4/5.0,https://www.walmart.com/ip/Reaching-Aid-32-Inch/32427526,blank
22,MagniPros 3 Ultra Bright LED Lights 3X 4.5X 25X Powe  ...,$10.95,5.0/5.0,https://www.walmart.com/ip/MagniPros-3-Ultra-Bright-LED-Lights-3X-4-5X-25X-Power-Handheld-Reading-Magnifying-Glass-Light-Ideal-Reading-Small-Prints-Map-Coins-Inspection-Jewelry/117787291,blank
23,MagniPros Jumbo Size Magnifying Glass Wide Horizonta  ...,$12.95,4.3/5.0,https://www.walmart.com/ip/MagniPros-Jumbo-Size-Magnifying-Glass-Wide-Horizontal-Lens-3x-Magnification-Shockproof-Housing-Scratch-Resistant-Design-W-Large-Viewing-Area-Ideal-Re/460307565,blank
24,Ezy Dose AM/PM Travel Pill Pods Pill Planner,$5.99,4.8/5.0,https://www.walmart.com/ip/Ezy-Dose-AM-PM-Travel-Pill-Pods-Pill-Planner/33056563,blank
25,MagniPros 3X Large Full Page LED Lighted Magnifier M  ...,$17.95,5.0/5.0,https://www.walmart.com/ip/MagniPros-3X-Large-Full-Page-LED-Lighted-Magnifier-Magnifying-Glass-Upgraded-Lens-Flip-Out-Legs-3-Bonus-Bookmark-Magnifiers-Ideal-Reading-Low-Vision-/707755475,blank
26,MagniPros Magnifying Glass with Bright LED Lights an  ...,$14.95,5.0/5.0,https://www.walmart.com/ip/MagniPros-Magnifying-Glass-Bright-LED-Lights-10X-5X-Illuminated-2-Lens-set-Cleaning-Cloth-Ideal-Seniors-Maps-Macular-Degeneration-Jewelry-Watch-Compu/641996753,blank
27,Daily Pill Box AM PM Organizer Case Medicine Storage  ...,$5.66,2.2/5.0,https://www.walmart.com/ip/Daily-Pill-Box-AM-PM-Organizer-Case-Medicine-Storage-Vitamin-Tablet-Holder-New/174088095,blank
28,Ezy Dose Weekly / Push-Button 1 Medtime Planner,$6.68,4.0/5.0,https://www.walmart.com/ip/Ezy-Dose-Weekly-Push-Button-1-Medtime-Planner/10996834,blank
29,Full Page Magnifying Sheet 3X Magnifier Lens Reading  ...,$6.25,3.5/5.0,https://www.walmart.com/ip/Full-Page-Magnifying-Sheet-3X-Magnifier-Lens-Reading-Books-Glass-Vision-Loupe/139861399,blank
30,2 Packs Am Pm 7 Day Pill Box Organizer Medicine Tabl  ...,$8.34,3.3/5.0,https://www.walmart.com/ip/2-Packs-Am-Pm-7-Day-Pill-Box-Organizer-Medicine-Tablet-Daily-Vitamin-Case-Holder/151662049,blank
31,Universal Pill Cutter,$4.35,0.0/5.0,https://www.walmart.com/ip/Universal-Pill-Cutter/46074549,blank
32,(2 Pack) As Seen On TV! Gopher II Deluxe Pick Up & R  ...,$8.79 - $15.99,3.9/5.0,https://www.walmart.com/ip/2-Pack-As-Seen-On-TV-Gopher-II-Deluxe-Pick-Up-Reaching-Tool/977867921,blank
33,Digital Hearing Amplifiers - Rechargeable BTE Person  ...,$42.73,3.1/5.0,https://www.walmart.com/ip/Digital-Hearing-Amplifiers-Rechargeable-BTE-Personal-Sound-Amplifier-Pair-USB-Dock-Premium-Gold-Behind-Ear-Sound-Amplification-NewEar/772347670,blank
34,(2 Pack) Vaultz Locking Medicine Case,$19.66,3.6/5.0,https://www.walmart.com/ip/2-Pack-Vaultz-Locking-Medicine-Case/505114984,blank
35,As Seen on TV Grabit Ratcheting Tool,$9.00,3.1/5.0,https://www.walmart.com/ip/As-Seen-on-TV-Grabit-Ratcheting-Tool/223342530,blank
36,"(2 Pack) Be Koool Soft Gel Sheets for Kids, 4 count",$5.76,4.9/5.0,https://www.walmart.com/ip/2-Pack-Be-Koool-Soft-Gel-Sheets-for-Kids-4-count/425190448,blank
37,"The Clapper! Wireless Sound Activated On/Off Switch,  ...",$25.38,3.6/5.0,https://www.walmart.com/ip/The-Clapper-Wireless-Sound-Activated-On-Off-Switch-Clap-Detection/10740655,blank
38,Mack's Pillow Soft Ear Plugs - Kid Size,$2.46,4.1/5.0,https://www.walmart.com/ip/Mack-s-Pillow-Soft-Ear-Plugs-Kid-Size/10312303,blank
39,Sage Products Comfort Personal Cleansing One-Step Ri  ...,$3.42,5.0/5.0,https://www.walmart.com/ip/Sage-Products-Comfort-Personal-Cleansing-One-Step-Rinse-Free-Shampoo-Conditioner-in-a-Cap/48587730,blank
