HearingAids,Walmart #  572196161,Vizara Hearing Aid System | Premium Bluetooth Hearin  ...,https://www.walmart.com/ip/Vizara-Hearing-Aid-System-Premium-Bluetooth-Hearing-Device-with-Recharging-Station-Right-Left-Pair/521796449,One of the pair stopped working after just a few days.  Waiting on callback from supplier.
HearingAids,Walmart #  563258823,Simplicity Smart Touch Hearing Aid Pair,https://www.walmart.com/ip/Simplicity-Smart-Touch-Hearing-Aid-Pair/19511763,"Wonderful product. Your hearing aids augment my hearing wonderfully. I hear things I haven't heard for a while. Like my refrigerator. The motor. Doesn't sound good. Before I bought the hearing aids I did not know my fridge needed work.

No, seriously, they are just great. They are comfortable, adjustable, tiny...and most of all...they work.

Finally, the price: At $799 they are a great bargain and work better than the ones I returned to Costco which were 3 times the price."
HearingAids,Walmart #  563258823,Simplicity Smart Touch Hearing Aid Pair,https://www.walmart.com/ip/Simplicity-Smart-Touch-Hearing-Aid-Pair/19511763,"Purchased the pair of hearing aides despite the higher cost based on the 90 day return policy. The product description was for mild to moderate hearing loss. I was not disappointed. I am in the upper range of the moderate hearing loss category and I am using them with great results on the lowest setting. They are small hearing aides that fit behind the ear and with the color choices to match your hair, people will not even notice that you are wearing them. Assuming that this product proves to be durable going forward I would then increase my value rating to excellent."
HearingAids,Walmart #  550854578,"Simply Soft Smart Touch Hearing Aid, Pair",https://www.walmart.com/ip/Simply-Soft-Smart-Touch-Hearing-Aid-Pair/19511766,"After getting headaches from my $1800 ea. hearing aids from a well advertised company, I quit wearing them. (They continually popped out while eating or talking.) After reading lips and trying to nod and smile at the ""right"" times (because I had no idea what the person was saying), I happened on these while shopping online at Walmart. After much, much on line research and realizing that I would no longer have to wrap tape or band-aids around them (to try to keep them in) I ordered a pair . I can hear!!!! They stay in place and are so comfortable that I forget that I am wearing them. NO MORE HEADACHES. NO MORE READING LIPS!!! Thanks SimplySoft..."
HearingAids,Walmart #  550854578,"Simply Soft Smart Touch Hearing Aid, Pair",https://www.walmart.com/ip/Simply-Soft-Smart-Touch-Hearing-Aid-Pair/19511766,"I've been wearing h. a. for many years. My last set were from Costco.
While they were less than the ""normal"" cost of 3k-5k and up pricing, they
finally stopped working and I just didn't want to pay thousands for another
set. Because I recently switched my wholesale buying to Sam's Club, I wanted
to see what they had to offer. Bottom line, after talking to a GHI (the manufacturer)
rep, who game me the assurance I needed to purchase h.a. for such a low price,
I found that Walmart had the same model for an even better price. I'm so
pleased with the comfort and sound quality I feel like setting up my own h. a.
business and telling everyone who wants the best bang for the buck in hearing
aids, to buy what I'm using. I'm just happy that Walmart is making this product
available for so many people who don't have to pay thousands of dollars to hear
once again, their ""turn signal"" Please buy these, you'll be pleasantly surprised!"
HearingAids,Walmart #  550854578,"Simply Soft Smart Touch Hearing Aid, Pair",https://www.walmart.com/ip/Simply-Soft-Smart-Touch-Hearing-Aid-Pair/19511766,"It is possible that I needed the smaller sized aids because these seemed to fit into my ear canal okay, but they did not go into my ear like the pictures I saw on the website. Also, they only mariginally aided my hearing problem. They amplified my own conversation, but not so much the conversation of others.

The main reason I decided to try these aids was that they are sold by Walmart. I knew I could return them if it was necessary. The return process with Walmart was great. I ordered online, but was able to return to my local store."
HearingAids,Walmart #  550854578,"Simply Soft Smart Touch Hearing Aid, Pair",https://www.walmart.com/ip/Simply-Soft-Smart-Touch-Hearing-Aid-Pair/19511766,"I purchased these hearing aids for my mom after she was quoted a price of $3,000 for custom hearing aids.  We decided to try these first to see if they worked.  At first she got feedback, but then learned that if she pushed them all the way in her ear the feedback would go away.  It also took her a few days to get use to adjusting the volume.   After that, they've been working great so far.  She was surprised because her doctor told her she had severe hearing loss and didn't think a product like this would help.  Anyways, it did!  She loves them.  Its only been a couple weeks so we do not yet know how they will hold up, but we did get the 4 year warranty.  The manufacturer's customer service line is also very helpful.  I would recommend at least giving these a try if you cannot afford expensive aids.  Its great that there is a 90 day money back guarantee."
HearingAids,Walmart #  550854578,"Simply Soft Smart Touch Hearing Aid, Pair",https://www.walmart.com/ip/Simply-Soft-Smart-Touch-Hearing-Aid-Pair/19511766,"Any movement of jaw or head could cause the aids to squeal. Fit was slightly uncomfortable but maybe could have gotten better if I had worn them a little longer.
Actual hearing was improved and except for the almost continual squealing would have probably kept them. Not my first try with hearing aids. I have been wearing them for about ten years so I know what to expect from them. Was going to use these for spare."
HearingAids,Walmart #  550852932,Simplicity Smart Touch Digital Over-the-Ear Hearing   ...,https://www.walmart.com/ip/Simplicity-Smart-Touch-Digital-Over-the-Ear-Hearing-Aid-Left-Ear/15599962,"I first bought the in the ear model but they seem to make my ear hurt after a while so I returned them and got this behind the ear model, they are really great . I can hear good with them they're very comfortable and I don't even know I'm wearing them. The batteries are now 10 days old and still going strong. I wear them 10 to 14 hours a day. My hearing is such that I can't understand people often times, that has improved greatly. I can now listen to the TV without turning it up real loud, and I can hear the birds singing when I go outside. I think the hearing quality is a lot better with these behind the ear models then the one that fit in the ear. These Aids are one third the cost of the ones my brother bought and he doesn't like wearing his.That is my impression of these aids after 10 days now as far as long term will just have to wait-and-see. I tried the in the ear model for three weeks then return them and got these, they are my first experience with hearing aids, I have cut my what did you say by 90% ,So far I am happy happy happy."
HearingAids,Walmart #  550852932,Simplicity Smart Touch Digital Over-the-Ear Hearing   ...,https://www.walmart.com/ip/Simplicity-Smart-Touch-Digital-Over-the-Ear-Hearing-Aid-Left-Ear/15599962,"I ordered these for her in hopes that they would work, and she wouldn't have to pay $3,600 for some from the doctors office. They work perfectly and she loves them. I can't say they are as good as the doctors office because she never wore those, but she likes these and since I paid for them, I liked the price."
HearingAids,Walmart #  550852932,Simplicity Smart Touch Digital Over-the-Ear Hearing   ...,https://www.walmart.com/ip/Simplicity-Smart-Touch-Digital-Over-the-Ear-Hearing-Aid-Left-Ear/15599962,"I put off buying hearing aides from the outfit that my doctor sends you to because the prices are so expensive. I got a pair of hearing aides for half of the price that one would have cost me through my doctor's office. When you have worn them for awhile, you almost forget how much they are helping you hear things until you take them off and things get quieter. I only wish they had an off button that worked with the volume control. The only way to turn them off is to pull out the battery."
HearingAids,Walmart #  550852932,Simplicity Smart Touch Digital Over-the-Ear Hearing   ...,https://www.walmart.com/ip/Simplicity-Smart-Touch-Digital-Over-the-Ear-Hearing-Aid-Left-Ear/15599962,"Wonderful product. Your hearing aids augment my hearing wonderfully. I hear things I haven't heard for a while. Like my refrigerator. The motor. Doesn't sound good. Before I bought the hearing aids I did not know my fridge needed work.

No, seriously, they are just great. They are comfortable, adjustable, tiny...and most of all...they work.

Finally, the price: At $799 they are a great bargain and work better than the ones I returned to Costco which were 3 times the price."
HearingAids,Walmart #  550852932,Simplicity Smart Touch Digital Over-the-Ear Hearing   ...,https://www.walmart.com/ip/Simplicity-Smart-Touch-Digital-Over-the-Ear-Hearing-Aid-Left-Ear/15599962,"Purchased the pair of hearing aides despite the higher cost based on the 90 day return policy. The product description was for mild to moderate hearing loss. I was not disappointed. I am in the upper range of the moderate hearing loss category and I am using them with great results on the lowest setting. They are small hearing aides that fit behind the ear and with the color choices to match your hair, people will not even notice that you are wearing them. Assuming that this product proves to be durable going forward I would then increase my value rating to excellent."
HearingAids,Walmart #  550849485,Simplicity Smart Touch Digital Over-the-Ear Hearing   ...,https://www.walmart.com/ip/Simplicity-Smart-Touch-Digital-Over-the-Ear-Hearing-Aid-Right-Ear/15599961,"I first bought the in the ear model but they seem to make my ear hurt after a while so I returned them and got this behind the ear model, they are really great . I can hear good with them they're very comfortable and I don't even know I'm wearing them. The batteries are now 10 days old and still going strong. I wear them 10 to 14 hours a day. My hearing is such that I can't understand people often times, that has improved greatly. I can now listen to the TV without turning it up real loud, and I can hear the birds singing when I go outside. I think the hearing quality is a lot better with these behind the ear models then the one that fit in the ear. These Aids are one third the cost of the ones my brother bought and he doesn't like wearing his.That is my impression of these aids after 10 days now as far as long term will just have to wait-and-see. I tried the in the ear model for three weeks then return them and got these, they are my first experience with hearing aids, I have cut my what did you say by 90% ,So far I am happy happy happy."
HearingAids,Walmart #  550849485,Simplicity Smart Touch Digital Over-the-Ear Hearing   ...,https://www.walmart.com/ip/Simplicity-Smart-Touch-Digital-Over-the-Ear-Hearing-Aid-Right-Ear/15599961,"I ordered these for her in hopes that they would work, and she wouldn't have to pay $3,600 for some from the doctors office. They work perfectly and she loves them. I can't say they are as good as the doctors office because she never wore those, but she likes these and since I paid for them, I liked the price."
HearingAids,Walmart #  550849485,Simplicity Smart Touch Digital Over-the-Ear Hearing   ...,https://www.walmart.com/ip/Simplicity-Smart-Touch-Digital-Over-the-Ear-Hearing-Aid-Right-Ear/15599961,"I put off buying hearing aides from the outfit that my doctor sends you to because the prices are so expensive. I got a pair of hearing aides for half of the price that one would have cost me through my doctor's office. When you have worn them for awhile, you almost forget how much they are helping you hear things until you take them off and things get quieter. I only wish they had an off button that worked with the volume control. The only way to turn them off is to pull out the battery."
HearingAids,Walmart #  550849485,Simplicity Smart Touch Digital Over-the-Ear Hearing   ...,https://www.walmart.com/ip/Simplicity-Smart-Touch-Digital-Over-the-Ear-Hearing-Aid-Right-Ear/15599961,"Wonderful product. Your hearing aids augment my hearing wonderfully. I hear things I haven't heard for a while. Like my refrigerator. The motor. Doesn't sound good. Before I bought the hearing aids I did not know my fridge needed work.

No, seriously, they are just great. They are comfortable, adjustable, tiny...and most of all...they work.

Finally, the price: At $799 they are a great bargain and work better than the ones I returned to Costco which were 3 times the price."
HearingAids,Walmart #  550849485,Simplicity Smart Touch Digital Over-the-Ear Hearing   ...,https://www.walmart.com/ip/Simplicity-Smart-Touch-Digital-Over-the-Ear-Hearing-Aid-Right-Ear/15599961,"Purchased the pair of hearing aides despite the higher cost based on the 90 day return policy. The product description was for mild to moderate hearing loss. I was not disappointed. I am in the upper range of the moderate hearing loss category and I am using them with great results on the lowest setting. They are small hearing aides that fit behind the ear and with the color choices to match your hair, people will not even notice that you are wearing them. Assuming that this product proves to be durable going forward I would then increase my value rating to excellent."
HearingAids,Walmart #  563258943,"SimplySoft Classic Hearing Aid, Right Ear",https://www.walmart.com/ip/SimplySoft-Classic-Hearing-Aid-Right-Ear/19511764,I love my hearing aids nobody knows that I am wearing them and I was just amazed at all the things that I can hear now I take part in conversations in a crowded restaurant now and am just so excited to hear all the little things that I did not even know I was missing out on.Thank you for giving me a social life back
HearingAids,Walmart #  563258943,"SimplySoft Classic Hearing Aid, Right Ear",https://www.walmart.com/ip/SimplySoft-Classic-Hearing-Aid-Right-Ear/19511764,"I have been wearing an over-the-ear hearing aid for the last couple of years. It has worked just ok. I did not like the fact the hearing aids were riding in the same place as my glasses. When the old hearing aids broke, I was determined to get an in-the-ear aid this time. I was very concerned about the price because I had paid 2500.00 for the old ones. When I found the Wal-Mart hearing aids on the internet for less than 600.00, I was skeptical to say the least. But I finally decided that I would rather waste 500+ dollars than waste another 2500.00 (or more). I ordered the hearing aids and they arrived very quickly. They are easy to use, work well and so far have good battery life. I open the aids so the battery isn't activated when in storage as suggested in the product info book and it seems to be working. I can even hear myself breathe now! I'm glad I took the chance and purchased the Wal-Mart in-the-ear aids."
HearingAids,Walmart #  563258943,"SimplySoft Classic Hearing Aid, Right Ear",https://www.walmart.com/ip/SimplySoft-Classic-Hearing-Aid-Right-Ear/19511764,"My dad has pretty bad hearing. This didn't work for him, good thing is that I got it from walmart and all I had to do was go to the store and get a refund on it. Just have to make sure you are buying from wally world and not from some other seller. Maybe it's good for those with not so bad hearing. Not for the really old and bad ears like my dad."
HearingAids,Walmart #  563258943,"SimplySoft Classic Hearing Aid, Right Ear",https://www.walmart.com/ip/SimplySoft-Classic-Hearing-Aid-Right-Ear/19511764,I have tried a lot of different pairs of hearing aids and this one has turned out to be my favorite. Its a shame that hearing aids aren't covered under most insurance. It's like the forgotten illness. Take care.
HearingAids,Walmart #  563258943,"SimplySoft Classic Hearing Aid, Right Ear",https://www.walmart.com/ip/SimplySoft-Classic-Hearing-Aid-Right-Ear/19511764,"These are good for hearing, but be prepared for whistling noises. I have to continue to push these back in my ears all day long because of whistling noises. When they are all the way in I can hear great but I have to push them back in on average about 10 times an hour."
HearingAids,Walmart #  563303414,PerfectDry LUX Automatic Hearing Aid UV-C Disinfecti  ...,https://www.walmart.com/ip/PerfectDry-LUX-Automatic-Hearing-Aid-UV-C-Disinfecting-and-Cleaning-System-by-Quest/34334951,"A well made Hearing aid dryer which looks like it wasn't made in China (construction built like a little tank) but was designed and tested in France. 4 Way UV-C Disinfection with 360 degree radiation. Powered by a 5 Volt, o.8 Amp USB connection. USB cable and Transformer provided. Transformer is a switching adapter Input 100-240 Volts-50/60Hz 0.2A. Output is 5.0V=1000mA.

A touch of a front lit button starts an automatic 30 minute Heating and disinfecting Cycle with automatic shut off at the end of the 30 minutes.

Use of this device seems to have increased the active period of my Hearing Aid Batteries (manufacturerindicates it is fine to leave batteries in this unit with battery door open). Very happy with this purchase. Was a little expensive but once I saw its construction and features I thought the price was very reasonable."
HearingAids,Walmart #  563303414,PerfectDry LUX Automatic Hearing Aid UV-C Disinfecti  ...,https://www.walmart.com/ip/PerfectDry-LUX-Automatic-Hearing-Aid-UV-C-Disinfecting-and-Cleaning-System-by-Quest/34334951,"This item has ONLY one mode, although it is listed as having two modes: (1) 30 minutes, quick and (2) 90 minutes full clean.

No information as to how to contact the munufacturer, neither information on how to operate it.

Nomrecommended."
HearingAids,Walmart #  551663902,"Duracell Hearing Aid Batteries with Easy-Fit Tab, Si  ...",https://www.walmart.com/ip/Duracell-Hearing-Aid-Batteries-with-Easy-Fit-Tab-Size-312-16-Pack/23810301,"purchased the batteries on-line because my local Wal*Mart stores no longer carry hearing aid batteries. I placed a set into use and they lasted 4 days. That's it. In the past, the batteries averaged 7 days of life - still short.

I am very disappointed and will look for another brand and retail store."
HearingAids,Walmart #  551663902,"Duracell Hearing Aid Batteries with Easy-Fit Tab, Si  ...",https://www.walmart.com/ip/Duracell-Hearing-Aid-Batteries-with-Easy-Fit-Tab-Size-312-16-Pack/23810301,Does the job well and lasts the longest of those previously used [This review was collected as part of a promotion.]
HearingAids,Walmart #  551663902,"Duracell Hearing Aid Batteries with Easy-Fit Tab, Si  ...",https://www.walmart.com/ip/Duracell-Hearing-Aid-Batteries-with-Easy-Fit-Tab-Size-312-16-Pack/23810301,"These batteries are better than any given to me by my audiologist.
They last longer and are easier to insert and they are less expensive."
HearingAids,Walmart #  551663902,"Duracell Hearing Aid Batteries with Easy-Fit Tab, Si  ...",https://www.walmart.com/ip/Duracell-Hearing-Aid-Batteries-with-Easy-Fit-Tab-Size-312-16-Pack/23810301,Great price and the convenience of home delivery
HearingAids,Walmart #  551663902,"Duracell Hearing Aid Batteries with Easy-Fit Tab, Si  ...",https://www.walmart.com/ip/Duracell-Hearing-Aid-Batteries-with-Easy-Fit-Tab-Size-312-16-Pack/23810301,Came swiftly with no hassle and so easy to order.
HearingAids,Walmart #  563273645,Simply Slim Smart Touch Hearing Aid Pair,https://www.walmart.com/ip/Simply-Slim-Smart-Touch-Hearing-Aid-Pair/14004237,"I have been experiencing a gradual loss of hearing over the past few years. I finally came to the realization that I needed to see what my options were. In searching the internet for amplification products I came across this product. I read all of the reviews and decided to buy the pair. In my job I deal primarily with older people and a common complaint among them was the high cost of hearing aids....and many people put off addressing their hearing problem because of this...including myself. I commonly hear numbers in the 5 to 6 thousand dollar range being talked about. I would never pay that much either.

When I received my product I easily installed the batteries that were incluced and placed each hearing aid in the appropriate ear. I was amazed at the immediate improvement in my hearing.

I am impressed with the quality of these hearing aids. They fit comfortably within each ear and are barely visible. They are very easy to use.

I wholeheartedly endorse this product to other's in similar situations."
HearingAids,Walmart #  563273645,Simply Slim Smart Touch Hearing Aid Pair,https://www.walmart.com/ip/Simply-Slim-Smart-Touch-Hearing-Aid-Pair/14004237,"Only issue I have is with the initial feedback when inserting the hearing aid into my ear. But otherwise they are comfortable and work very well with my degree of hearing loss. I had hearing aids that cost me 5000, digital ear molded in the canal aids that popped out when someone hugged me and my ear was jostled which ended up with the case being cracked. The simply slims do not dislodge when jostled or need adjustment when eating. I do think I will have issues with using them on the phone because of the feedback from the handset. Hopefully the telephone pads will work. I like the slim size since I have small ear canals and they fit perfectly."
HearingAids,Walmart #  563273645,Simply Slim Smart Touch Hearing Aid Pair,https://www.walmart.com/ip/Simply-Slim-Smart-Touch-Hearing-Aid-Pair/14004237,"I had the pair in for about 2 hours, and found every sound was amplified, very loud even for the lowest volume setting. The high pitched beeping of the device can come up anytime, very annoying, people next to me can hear it. I was planning to use them for my work day, but the performance is well below my expectation."
HearingAids,Walmart #  563273645,Simply Slim Smart Touch Hearing Aid Pair,https://www.walmart.com/ip/Simply-Slim-Smart-Touch-Hearing-Aid-Pair/14004237,The inside the ear aids do not work well. No matter how you have them in they beep and screech. Must return for refund.
HearingAids,Walmart #  563273645,Simply Slim Smart Touch Hearing Aid Pair,https://www.walmart.com/ip/Simply-Slim-Smart-Touch-Hearing-Aid-Pair/14004237,"They did boost the sound in my ears, but for me it was like talking with my head in a big can. Huge echo chamber. I did return them."
HearingAids,Walmart #  563477386,Simplicity Hi Fi EP Hearing Aid Pair,https://www.walmart.com/ip/Simplicity-Hi-Fi-EP-Hearing-Aid-Pair/14004243,"These hearing aids were for my Mom.
She has 50% hearing loss in both ears, and debilitating Tinnitus. She was shocked and overjoyed to find that these eliminated about 75-85%  of the Tinnitus ringing in her ears. The result is she became 10 years younger,  with abundance of energy!

She got use to adjusting the volume (which she was able to learn how to do while wearing), she was able to hear me from another room. She could watch a movie on T.V. without closed captions!

Walking outside was more of a challenge since she was visiting me in NYC. She learned to turn them way down while walking down the street, because of sirens and loud trucks going by. But even still, they provided much relief from the Tinnitus therefore less stress from the street noise!
Although difficult at first, she learned how to open the battery compartment, so that every night she can save on using the battery up. I don't know yet how much this prolongs the life of the battery, but it was suggested in the instructions.

The ear piece was comfortable and she could not even feel the aid resting on her ear, nor the tube/inside ear piece that was in the ear, at all. And it was not even visible, as well! Definitely recommend!"
HearingAids,Walmart #  563477386,Simplicity Hi Fi EP Hearing Aid Pair,https://www.walmart.com/ip/Simplicity-Hi-Fi-EP-Hearing-Aid-Pair/14004243,"I bought this pair because it is advertised for musicians. I listen a lot to music, but too soon when I increase the volume on the hearing aids there is the whistling sound of feedback. It's there to early and too often for me. I'm wearing them now for about 10 days. Seems to be the top-of-the-line product and I'm not sure if I will hang on to them."
HearingAids,Walmart #  563477386,Simplicity Hi Fi EP Hearing Aid Pair,https://www.walmart.com/ip/Simplicity-Hi-Fi-EP-Hearing-Aid-Pair/14004243,"I purchased these for my disabled brother. When I put them on him, his face lights up!
Thank you so much for a wonderful product."
HearingAids,Walmart #  563477386,Simplicity Hi Fi EP Hearing Aid Pair,https://www.walmart.com/ip/Simplicity-Hi-Fi-EP-Hearing-Aid-Pair/14004243,Bought them for my husband. He is extremely satisfied with them. He says he hears better with them than with the others he has had in the past that cost twice as much. He is considering buying another pair as backup.
HearingAids,Walmart #  563477386,Simplicity Hi Fi EP Hearing Aid Pair,https://www.walmart.com/ip/Simplicity-Hi-Fi-EP-Hearing-Aid-Pair/14004243,"The 'made for musicians' claim got my interest. After four conversations with the great tech support I was confident my audiogram was typical so a one-size-fits-all unit would help me. I even got the audio distortion figures. With a 90 day trial what could I lose? I have severe to profound loss, 55 and 45 dB at 2 KHz, 75 and 65 dB at 4 KHz. I turn the volume up almost all the way. It is a tremendous help with voices although with my huge hearing loss I can't expect miracles. Orchestral music sounds as sweet as I remember. The string section sounds clean as can be. I love hearing birds and the click of my mouse button. There is no background noise problem. The devices are small, confortable, and nearly invisible. My hair touches the top of my ear and covers the unit. My only complaint is that if I accidently touch the top of the unit it turns the volume control. I have never tried a custom programmable digital hearing aid so I can't compare."
